Distribution,Params,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference
LogNormal,"[0.0, 0.25]",0.7883,40,0.01665,0.02854,0.04519,-0.011889999999999998
LogNormal,"[0.0, 0.25]",0.7883,100,0.01999,0.02685,0.04684,-0.006859999999999998
LogNormal,"[0.0, 0.25]",0.7883,200,0.0207,0.02716,0.04786,-0.0064600000000000005
LogNormal,"[0.0, 0.25]",0.7883,300,0.02277,0.02738,0.05015,-0.004610000000000003
LogNormal,"[0.0, 0.25]",0.7883,400,0.02334,0.02638,0.04972,-0.003040000000000001
LogNormal,"[0.0, 0.25]",0.7883,1000,0.02455,0.02601,0.050559999999999994,-0.0014599999999999995
LogNormal,"[0.0, 0.25]",0.7883,2000,0.02443,0.02564,0.05007,-0.0012099999999999993
LogNormal,"[0.0, 0.25]",0.7883,3000,0.02463,0.02549,0.05012,-0.0008599999999999997
LogNormal,"[0.0, 0.25]",0.7883,4000,0.02496,0.02588,0.050839999999999996,-0.0009200000000000007
LogNormal,"[0.0, 0.25]",0.7883,5000,0.02493,0.02516,0.050089999999999996,-0.00022999999999999757
LogNormal,"[0.0, 0.25]",0.7883,10000,0.02441,0.02569,0.050100000000000006,-0.0012799999999999999
Beta,"[0.3, 0.2]",-0.4,5,0.00132,3.0e-5,0.00135,0.00129
Beta,"[0.3, 0.2]",-0.4,10,0.01214,0.00308,0.01522,0.00906
Beta,"[0.3, 0.2]",-0.4,20,0.02448,0.01495,0.03943,0.009529999999999999
Beta,"[0.3, 0.2]",-0.4,30,0.02563,0.01798,0.043609999999999996,0.0076500000000000005
Beta,"[0.3, 0.2]",-0.4,40,0.02583,0.01975,0.045579999999999996,0.006079999999999999
Beta,"[0.3, 0.2]",-0.4,100,0.02618,0.0216,0.04778,0.004579999999999997
Beta,"[0.3, 0.2]",-0.4,200,0.02575,0.02264,0.04839,0.003109999999999998
Beta,"[0.3, 0.2]",-0.4,300,0.0262,0.02352,0.04972,0.002680000000000002
Beta,"[0.3, 0.2]",-0.4,400,0.02608,0.02379,0.04987,0.0022900000000000004
Beta,"[0.3, 0.2]",-0.4,1000,0.02611,0.02447,0.05058,0.0016400000000000026
Beta,"[0.3, 0.2]",-0.4,2000,0.02605,0.02415,0.0502,0.001899999999999999
Beta,"[0.3, 0.2]",-0.4,3000,0.02582,0.02417,0.04999,0.0016499999999999987
Beta,"[0.3, 0.2]",-0.4,4000,0.02528,0.02477,0.05005,0.00051
Beta,"[0.3, 0.2]",-0.4,5000,0.02544,0.02459,0.050030000000000005,0.0008500000000000001
Beta,"[0.3, 0.2]",-0.4,10000,0.02539,0.02377,0.049159999999999995,0.00162
Normal,Any[],0.0,5,0.00874,0.0087,0.017439999999999997,4.0000000000000105e-5
Normal,Any[],0.0,10,0.01495,0.01495,0.0299,0.0
Normal,Any[],0.0,20,0.01978,0.01908,0.03886,0.0006999999999999992
Normal,Any[],0.0,30,0.02163,0.02157,0.0432,6.0000000000001025e-5
Normal,Any[],0.0,40,0.0228,0.02233,0.04513,0.00047000000000000167
Normal,Any[],0.0,100,0.02477,0.02345,0.04822,0.0013200000000000017
Normal,Any[],0.0,200,0.0241,0.02436,0.04846,-0.0002599999999999998
Normal,Any[],0.0,300,0.02457,0.02501,0.04958,-0.0004399999999999994
Normal,Any[],0.0,400,0.02451,0.02465,0.049159999999999995,-0.00013999999999999777
Normal,Any[],0.0,1000,0.02512,0.02463,0.04975,0.0004900000000000009
Normal,Any[],0.0,2000,0.02483,0.02464,0.04947,0.00019000000000000267
Normal,Any[],0.0,3000,0.02522,0.02561,0.05083,-0.00039000000000000146
Normal,Any[],0.0,4000,0.02484,0.02506,0.0499,-0.00021999999999999797
Normal,Any[],0.0,5000,0.02433,0.02498,0.04931,-0.0006499999999999978
Normal,Any[],0.0,10000,0.02507,0.0247,0.049769999999999995,0.0003699999999999988
